# Time: 2022-04-21T13:39:54-07:00
# Header Rows: 22
# File Format: 2
# Device: APE PulseLink 150
# Serial: S07246
# Firmware: 787
# Software: 1.8.5.1
# Sensitivity: 1
# Gain: 450
# Scan Range [ps]: 150.0
# Filter ACF: 0
# Average: 16
# Trigger: 0
# Trigger Frequency [Hz]: N/A
# ACF [ps]: 25.368
# Fit Type: None
# Fit Pulse Duration [ps]: 0.000
# FWHM Valid: 0
# ==========
# Delay [ps]	Intensity [arb.u.]
# ==========
-21.198099	0.008903
-21.123062	0.008691
-21.048024	0.008662
-20.972986	0.008355
-20.897949	0.008623
-20.822911	0.008652
-20.747874	0.008527
-20.672836	0.008647
-20.597799	0.008830
-20.522761	0.008575
-20.447724	0.008539
-20.372686	0.008803
-20.297649	0.008323
-20.222611	0.008884
-20.147574	0.008608
-20.072536	0.008888
-19.997499	0.008307
-19.922461	0.008602
-19.847424	0.008668
-19.772386	0.008837
-19.697349	0.008552
-19.622311	0.008421
-19.547274	0.008701
-19.472236	0.008579
-19.397199	0.008479
-19.322161	0.008745
-19.247124	0.008633
-19.172086	0.008436
-19.097049	0.008602
-19.022011	0.008949
-18.946973	0.008600
-18.871936	0.008693
-18.796898	0.008689
-18.721861	0.008706
-18.646823	0.008918
-18.571786	0.008807
-18.496748	0.008756
-18.421711	0.008577
-18.346673	0.008386
-18.271636	0.008500
-18.196598	0.008710
-18.121561	0.008780
-18.046523	0.008348
-17.971486	0.008764
-17.896448	0.008650
-17.821411	0.008959
-17.746373	0.008905
-17.671336	0.008938
-17.596298	0.008749
-17.521261	0.008681
-17.446223	0.008448
-17.371186	0.008654
-17.296148	0.008722
-17.221111	0.008768
-17.146073	0.008629
-17.071036	0.008631
-16.995998	0.009030
-16.920960	0.008853
-16.845923	0.008799
-16.770885	0.008631
-16.695848	0.008735
-16.620810	0.008753
-16.545773	0.008855
-16.470735	0.008714
-16.395698	0.008866
-16.320660	0.008635
-16.245623	0.008645
-16.170585	0.008610
-16.095548	0.008396
-16.020510	0.008502
-15.945473	0.008772
-15.870435	0.008701
-15.795398	0.008812
-15.720360	0.008853
-15.645323	0.008569
-15.570285	0.008494
-15.495248	0.008645
-15.420210	0.008664
-15.345173	0.008542
-15.270135	0.008658
-15.195098	0.008672
-15.120060	0.008614
-15.045023	0.008697
-14.969985	0.008631
-14.894947	0.008502
-14.819910	0.008562
-14.744872	0.008643
-14.669835	0.008483
-14.594797	0.008749
-14.519760	0.008872
-14.444722	0.008625
-14.369685	0.008253
-14.294647	0.008753
-14.219610	0.008878
-14.144572	0.008895
-14.069535	0.008573
-13.994497	0.008604
-13.919460	0.009005
-13.844422	0.008893
-13.769385	0.008417
-13.694347	0.008398
-13.619310	0.008691
-13.544272	0.008795
-13.469235	0.008866
-13.394197	0.008797
-13.319160	0.008635
-13.244122	0.008654
